time,coarse_droplet_counts_fluid_1,splash_height_fluid_1,droplet_radii_fluid_1,max_vertical_velocity_fluid_1
1.14,"[0, 0, 25]",2.00046380215484,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.04034949034588166, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",2.51375293640866
1.15,"[0, 0, 24]",1.99843011857622,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.046650553284516505, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",3.88748490373283
1.16,"[0, 0, 24]",1.99836180900433,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.039087733786331146, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",3.95557858175948
1.17,"[0, 0, 23]",1.99836971403291,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.07022900083657117, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.02321601006658
1.18,"[0, 0, 23]",1.99842725441249,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.06405082342143326, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.09188976563543
1.19,"[0, 0, 23]",1.9984192276339,"[0.042660074469388944, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.05819403511347074, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.15865635946754
1.2,"[0, 0, 24]",1.99836522578547,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.05083717223930627, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.22569530208718
1.21,"[0, 0, 24]",1.99836280489695,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.04153691525797346, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.29829835096807
1.22,"[0, 0, 23]",1.99840993910842,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.36637820383641
1.23,"[0, 0, 23]",1.99841419704344,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.03773879203899354, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.43416487544328
1.24,"[0, 0, 22]",1.99837140717901,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.50196178038344
1.25,"[0, 0, 22]",1.9983508066916,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.57147321364646
1.26,"[0, 0, 21]",1.99838778646624,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.036285837734772716, 0.03296787148801051, 0.03296787148801051]",4.64022127226712
1.27,"[0, 0, 20]",1.99841043590387,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051]",4.70834573893534
1.28,"[0, 0, 19]",1.99838605705429,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051]",4.77607180681168
1.29,"[0, 0, 19]",1.99835257537172,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.031023954865737495, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051]",4.84055890245238
1.3,"[0, 0, 18]",1.99836493997225,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.034706155247932885, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051]",4.90341065974474
1.31,"[0, 0, 17]",1.99839595857554,"[0.03296787148801051, 0.059346690675592444, 0.0288000884958628, 0.04034949034588166, 0.022858645387554926, 0.04372701555779006, 0.018142918867386358, 0.02616661694061015, 0.03296787148801051, 0.046650553284516505, 0.0288000884958628, 0.042660074469388944, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051, 0.03296787148801051]",4.96874441551865
